Element	Mass.1	Mass.2	Mass.3	Mass.4	Probability.1	Probability.2	Probability.3	Probability.4
C	12	13.00335484	NA	NA	0.9893	0.0107	NA	NA
H	1.007825032	2.014101778	NA	NA	0.999885	0.000115	NA	NA
N	14.00307401	15.0001089	NA	NA	0.99632	0.00368	NA	NA
O	15.99491462	16.9991315	17.9991604	NA	0.99757	0.00038	0.00205	NA
S	31.97207069	32.9714585	33.96786683	35.96708088	0.9493	0.0076	0.0429	2.00E-04
P	30.97376151	NA	NA	NA	1	NA	NA	NA
Br	78.9183376	80.916291	NA	NA	0.5069	0.4931	NA	NA
Cl	34.96885271	36.9659026	NA	NA	0.7578	0.2422	NA	NA
F	18.9984032	NA	NA	NA	1	NA	NA	NA
Si	27.97692653	28.97649472	29.97377022	NA	0.922297	0.046832	0.030872	NA
