mz,intensity,adjRT,RT,ScanNo
350.0011631,143598.0469,0.2942,0.2942,1
350.0014145,144121.5,1.9374,1.9374,2
350.0014459,137139.6563,3.5607,3.5607,3
350.0013435,133204.4219,5.2175,5.2175,4
350.0014258,147980,6.7573,6.7573,5
350.0013801,148032.5625,8.2203,8.2203,6
350.0013414,153143.7031,9.7233,9.7233,7
350.0013558,150489.3594,11.2397,11.2397,8
350.0014492,141608.5,12.9235,12.9235,9
350.0013043,147000.2188,14.5576,14.5576,10
350.0011893,148065.7813,16.0607,16.0607,11
350.0014767,144536.0781,17.6776,17.6776,12
350.0013648,133078.3281,19.1758,19.1758,13
350.0013825,133296.3906,20.8577,20.8577,14
350.0013255,131042.0234,22.4857,22.4857,15
350.0014228,129816.7578,24.1276,24.1276,16
350.0014562,123133.0469,25.7503,25.7503,17
350.0014303,130709.0859,27.3001,27.3001,18
350.0013619,131720.8281,28.9903,28.9903,19
350.0012392,130076.3047,30.5984,30.5984,20
350.0015317,116635.6172,32.2105,32.2105,21
350.001485,118056.5469,33.7653,33.7653,22
350.0013697,137774.1563,35.3173,35.3173,23
350.0014437,135007.4219,36.9881,36.9881,24
350.0014735,111484.1797,38.6002,38.6002,25
350.0013415,123990.0156,40.2079,40.2079,26
350.0014652,109937.0469,41.8707,41.8707,27
350.001441,123224.6797,43.4879,43.4879,28
350.0013423,113930.6094,45.1459,45.1459,29
350.0014909,117169.125,46.7678,46.7678,30
350.0014866,147418.3906,48.3194,48.3194,31
350.0014928,122030.7031,49.8877,49.8877,32
350.00139,131340.8906,51.5201,51.5201,33
350.0013321,120468.1641,53.0451,53.0451,34
350.0014529,120413.5703,54.6301,54.6301,35
350.0013653,131946.8438,56.2054,56.2054,36
350.001373,148521.8125,57.7802,57.7802,37
350.0012445,143274.6719,59.3298,59.3298,38
350.0013043,144566.6563,61.0334,61.0334,39
350.0014285,140181.3594,62.6677,62.6677,40
350.0011848,120093.4219,64.2197,64.2197,41
350.0012694,137771.4375,65.8682,65.8682,42
350.0011766,140654.5469,67.357,67.357,43
350.0011738,140436.9844,68.7675,68.7675,44
350.0012421,137027.4375,70.2108,70.2108,45
350.0011492,138504.0625,71.598,71.598,46
350.0012595,131868.4219,72.9679,72.9679,47
350.0011517,168283.9531,74.2862,74.2862,48
350.0012457,141488.6094,75.6604,75.6604,49
350.0012627,147253.8906,77.0175,77.0175,50
350.0012556,142232.8125,78.3175,78.3175,51
350.0011249,169749.8438,79.6178,79.6178,52
350.0012024,166229.9844,80.9803,80.9803,53
350.0012575,151286.3125,82.2601,82.2601,54
350.0012208,160075.5625,83.6103,83.6103,55
350.0011225,178467.6094,84.9673,84.9673,56
350.0011526,201738.3594,86.2229,86.2229,57
350.0011549,281132.5313,87.479,87.479,58
350.0012019,286906.6563,88.7142,88.7142,59
350.0013033,217779.1563,89.9216,89.9216,60
350.001242,163944.6094,91.1566,91.1566,61
350.0010852,151305.0156,92.3976,92.3976,62
350.001236,161434.0469,93.7504,93.7504,63
350.0012085,160073.0781,95.0973,95.0973,64
350.0009764,144236.5156,96.4204,96.4204,65
350.0010815,161034.2031,97.7714,97.7714,66
350.0008062,131916.5313,99.2187,99.2187,67
350.0010553,172433.0625,100.578,100.578,68
350.0008986,354069.9063,101.78,101.78,69
350.0008089,187595.6563,103.127,103.127,70
350.0009983,154650,104.45,104.45,71
350.0011175,149385.9844,105.798,105.798,72
350.0008905,140190.9375,107.11,107.11,73
350.0010082,130943.9375,108.508,108.508,74
350.0012051,123124.6484,109.998,109.998,75
350.0011718,134919.875,111.597,111.597,76
350.0013643,140651.6719,113.229,113.229,77
350.0012488,139425.5313,114.837,114.837,78
350.0012982,137304.5,116.461,116.461,79
350.0012503,146075.6719,117.967,117.967,80
350.0011825,135917.7969,119.58,119.58,81
350.001269,128398.7422,121.232,121.232,82
350.0010859,123076.0625,122.82,122.82,83
350.0011335,100888.4844,124.438,124.438,84
350.0011865,1281153.375,125.942,125.942,85
350.0013341,907192.0625,127.138,127.138,86
350.0000979,601452.8125,128.32,128.32,87
350.0001086,1225239.125,129.742,129.742,88
350.0001086,2133894.5,131.093,131.093,89
350.0001083,2018372.25,132.429,132.429,90
350.000115,2064917.125,133.765,133.765,91
350.0001211,2128320.5,135.111,135.111,92
350.0001275,2035599.375,136.449,136.449,93
350.0001336,2076251.375,137.785,137.785,94
350.0001394,2208791.25,139.134,139.134,95
350.0001454,2056914.375,140.459,140.459,96
350.0001512,1933713,141.804,141.804,97
350.0001568,1916142.625,143.156,143.156,98
350.000162,2031787.875,144.497,144.497,99
350.0001676,2044886.125,145.823,145.823,100
350.0001703,4580175,147.174,147.174,101
350.0001755,4773809.5,148.5,148.5,102
350.0001805,5233606,149.855,149.855,103
350.0001856,5211348.5,151.22,151.22,104
350.000193,5290418.5,152.543,152.543,105
350.0001951,5475943.5,153.897,153.897,106
350.0002024,5073459.5,155.263,155.263,107
350.0002044,4280448.5,156.573,156.573,108
350.0002125,4802907,157.896,157.896,109
350.0002159,5110144,159.26,159.26,110
350.0002176,4827227,160.571,160.571,111
350.000225,5387541,161.91,161.91,112
350.000226,5132733,163.263,163.263,113
350.00023,5205349.5,164.577,164.577,114
350.0002366,5502881.5,165.923,165.923,115
350.0002379,5640829.5,167.258,167.258,116
350.0002417,5471651.5,168.606,168.606,117
350.0002454,5574989.5,169.951,169.951,118
350.0002491,5169418,171.275,171.275,119
350.0002553,5380680.5,172.583,172.583,120
350.0002562,5754447,173.891,173.891,121
350.0002625,5548771,175.264,175.264,122
350.0002631,5667830,176.57,176.57,123
350.0002673,4751346.5,177.882,177.882,124
350.0002696,5571875,179.261,179.261,125
350.0002728,5009194.5,180.557,180.557,126
350.0002759,4949109,181.893,181.893,127
350.0002816,4998722,183.259,183.259,128
350.000282,5539604.5,184.566,184.566,129
350.0002876,5451085.5,185.896,185.896,130
350.0002904,5744543.5,187.262,187.262,131
