mass,intensity,ionType,fixed or variable
147.587,1.106377909,[b2]2+,
183.113,6.52E-06,[y3]2+,
196.114,0.206877046,[b3]2+,
218.15,0.148855336,[y2]1+,
256.647,0.046058905,[y4]2+,
277.645,4.622833046,[b4]2+,
294.167,0.497881627,[b2]1+,
313.189,0.825827828,[y5]2+,
351.18,11.07355722,[b5]2+,variable
365.218,2.401282375,[y3]1+,
369.731,0.000410794,[y6]2+,
391.22,0.111458703,[b3]1+,
432.711,44.96078171,[b6]2+,variable
434.252,0.749509499,[y7]2+,
468.23,100,[b7]2+,variable
482.779,55.99891581,[y8]2+,fixed
512.287,11.382401,[y4]1+,fixed
516.756,1.792908862,[b8]2+,
518.297,18.41857379,[y9]2+,fixed
554.283,1.95375394,[b4]1+,
581.278,4.891232555,[b9]2+,
599.829,0.575439775,[y10]2+,
625.371,2.950198406,[y5]1+,
637.82,5.841873841,[b10]2+,
673.363,0.916259047,[y11]2+,
694.362,16.16505718,[b11]2+,variable
701.352,6.592312947,[b5]1+,
738.455,6.532458318,[y6]1+,
754.895,0.286772317,[y12]2+,
767.896,9.340091591,[b12]2+,
803.421,5.150849264,[y13]2+,
841.43,3.961211291,[b13]2+,
864.415,10.92728728,[b6]1+,variable
867.497,2.097783808,[y7]1+,
871.951,0.221672725,[y14]2+,
876.949,11.84400541,[b14]2+,variable
935.452,32.17517691,[b7]1+,variable
964.55,69.22658284,[y8]1+,fixed
1032.505,0.044171843,[b8]1+,
1035.587,10.92557024,[y9]1+,fixed
1161.548,0.028970143,[b9]1+,
1198.651,2.05901904,[y10]1+,
1274.632,0.001891352,[b10]1+,
1345.719,1.462478448,[y11]1+,
1387.716,0.000361691,[b11]1+,
1508.782,0.000145953,[y12]1+,
1534.784,0.001734465,[b12]1+,
1605.835,0.29992857,[y13]1+,
